participant_id,location,session_number,seal_id,seal_name,opened_description,opened_at,agreed_to_descriptions,timestamp
PUCPR-1782234486787-S4230J,PUCPR,2,green-1,Selo de Carne Bovina,Yes,2026-06-23T17:08:23.408Z,Yes,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,red-1,Certificação Angus,Yes,2026-06-23T17:08:25.041Z,Yes,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,green-2,Certificação Carne Cultivada,Yes,2026-06-23T17:08:26.017Z,Yes,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,red-2,Certificação Bem-Estar Animal,Yes,2026-06-23T17:08:27.015Z,Yes,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,green-3,Certificação Orgânica,Yes,2026-06-23T17:08:27.996Z,Yes,2026-06-23T17:08:48.698Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,green-1,Selo de Carne Bovina,Yes,2026-07-17T17:35:06.697Z,Yes,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,red-2,Certificação Bem-Estar Animal,Yes,2026-07-17T17:35:07.665Z,Yes,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,green-2,Certificação Carne Cultivada,Yes,2026-07-17T17:35:08.474Z,Yes,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,green-3,Certificação Orgânica,Yes,2026-07-17T17:35:10.169Z,Yes,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,red-1,Certificação Angus,Yes,2026-07-17T17:35:10.972Z,Yes,2026-07-17T17:38:02.648Z
UFBA-1784294105225-LLTE3I,UFBA,2,red-1,Certificação Angus,Yes,2026-07-17T17:36:49.817Z,Yes,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,red-2,Certificação Bem-Estar Animal,Yes,2026-07-17T17:36:50.566Z,Yes,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,green-3,Certificação Orgânica,Yes,2026-07-17T17:36:51.661Z,Yes,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,green-2,Certificação Carne Cultivada,Yes,2026-07-17T17:36:52.567Z,Yes,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,green-1,Selo de Carne Bovina,Yes,2026-07-17T17:36:53.527Z,Yes,2026-07-17T17:38:15.676Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,red-1,Certificação Angus,Yes,2026-07-17T19:19:26.253Z,Yes,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,green-3,Certificação Orgânica,Yes,2026-07-17T19:19:29.477Z,Yes,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,green-1,Selo de Carne Bovina,Yes,2026-07-17T19:19:30.443Z,Yes,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,red-2,Certificação Bem-Estar Animal,Yes,2026-07-17T19:19:31.209Z,Yes,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,green-2,Certificação Carne Cultivada,Yes,2026-07-17T19:19:32.919Z,Yes,2026-07-17T19:20:49.255Z
